"Submission Date","Username","Level","Total XP","Collector Badge","Jogger Badge","Team","XP Screenshot","Collector Badge Screenshot","Jogger Badge Screenshot",""
"2016-11-19 13:58:16","BlueGospelOne ","25","770788","2025","172.8","Instinct","","","",""
"2016-11-19 13:56:50","FenceHayward","29","61530","4971","255.6","Valor","[IMG_1320.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/6cdb1fcIMG_1320.PNG","[IMG_1322.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/6e9c6ffIMG_1322.PNG","[IMG_1321.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/6b530d4IMG_1321.PNG",""
"2016-11-19 13:56:27","MitchMan91","30","356832","7397","507.2","Mystic","[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/5a0e50fimage.png","[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/59b6f9dimage.png","[image.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/59a62e4image.png",""
"2016-11-19 13:56:22","SimplyMoxie","37","10774371","26314","1626.6","Mystic","[Screenshot_20161119-135540.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/55be687Screenshot_20161119-135540.png","[Screenshot_20161119-135501.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/557d0b0Screenshot_20161119-135501.png","[Screenshot_20161119-135603.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/55a9e83Screenshot_20161119-135603.png",""
"2016-11-19 13:56:13","Emmhydee ","18","162326","580","53.4","Instinct","[IMG_0356.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/4c50e0aIMG_0356.PNG","[IMG_0358.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/4c0d31aIMG_0358.PNG","[IMG_0357.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/4c09cd1IMG_0357.PNG",""
"2016-11-19 13:56:02","Germaniak","27","135697","3786","329.6","Instinct","[Screenshot_2016-11-19-12-28-05.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d5df3a6Screenshot_2016-11-19-12-28-05.png","[Screenshot_2016-11-19-12-27-55.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d27620aScreenshot_2016-11-19-12-27-55.png","[Screenshot_2016-11-19-12-27-46.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d0d3426Screenshot_2016-11-19-12-27-46.png",""
"2016-11-19 13:55:49","Apohcalypse","30","144842","6908","411.8","Mystic","[Screenshot_20161119-135000.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/2c0c190Screenshot_20161119-135000.png","[Screenshot_20161119-135017.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/0db0955Screenshot_20161119-135017.png","[Screenshot_20161119-135026.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/26c2b9cScreenshot_20161119-135026.png",""
"2016-11-19 13:54:54","Legacy15","29","73840","4020","383","Valor","","","",""
"2016-11-19 13:49:57","Peetarded","36","7631089","20253","1256.8","Valor","[IMG_6062.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d3d23caIMG_6062.PNG","[IMG_6063.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d38236cIMG_6063.PNG","[IMG_6064.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/d39020cIMG_6064.PNG",""
"2016-11-19 13:40:57","TyrMpatt","30","2067595","6020","751","Instinct","[Screenshot_2016-11-19-13-37-16.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/b7bc6d7Screenshot_2016-11-19-13-37-16.png","[Screenshot_2016-11-19-13-37-33.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/b3bb812Screenshot_2016-11-19-13-37-33.png","[Screenshot_2016-11-19-13-37-52.png] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/ab194ccScreenshot_2016-11-19-13-37-52.png",""
"2016-11-19 12:36:53","Exdeath86","32","3263970","9075","930.3","Mystic","","","",""
"2016-11-19 12:32:45","BlueGospelOne ","25","761223","1974","169.8","Instinct","","","",""
"2016-11-19 12:31:40","Emmhydee ","17","150604","528","50.4","Instinct","[IMG_0354.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/7a0bd12IMG_0354.PNG","[IMG_0353.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/7aca700IMG_0353.PNG","[IMG_0355.PNG] https://s3.amazonaws.com/jotformWidgets/imagePreview/63225367956263/79bdae7IMG_0355.PNG",""
